# tracer: function
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
             tee-3769  [000] .... 259069.330004: tracing_mark_write: start iozone:-I -O -i 0 -s 64 -r 4 -f /sdcard/tmp
    kworker/u8:0-3714  [002] ...1 259069.622913: mmc_init_request <-alloc_request_size
    kworker/u8:0-3714  [002] ...1 259069.622982: mmc_init_request <-alloc_request_size
    kworker/u8:0-3714  [002] ...1 259069.622999: mmc_init_request <-alloc_request_size
    kworker/u8:0-3714  [002] d..2 259069.623042: mmc_request_fn <-__blk_run_queue
         mmcqd/0-339   [000] d..2 259069.623060: mmc_prep_request <-blk_peek_request
         mmcqd/0-339   [000] d..2 259069.623064: mmc_access_rpmb <-mmc_prep_request
         mmcqd/0-339   [000] ...1 259069.623067: mmc_blk_issue_rq <-mmc_queue_thread
         mmcqd/0-339   [000] ...1 259069.623068: mmc_get_card <-mmc_blk_issue_rq
         mmcqd/0-339   [000] ...1 259069.623077: mmc_blk_issue_rw_rq <-mmc_blk_issue_rq
         mmcqd/0-339   [000] ...1 259069.623082: mmc_blk_rw_rq_prep <-mmc_blk_issue_rw_rq
         mmcqd/0-339   [000] ...1 259069.623086: mmc_set_data_timeout <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [000] ...1 259069.623090: mmc_queue_map_sg <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [000] ...1 259069.623094: mmc_start_areq <-mmc_blk_issue_rw_rq
         mmcqd/0-339   [000] ...1 259069.623096: mmc_start_request <-mmc_start_areq
         mmcqd/0-339   [000] ...1 259069.623097: mmc_retune_hold <-mmc_start_request
         mmcqd/0-339   [000] ...1 259069.623105: mmc_retune <-__mmc_start_request
         mmcqd/0-339   [000] .... 259069.623115: mmc_request_start: mmc0: start struct mmc_request[ffffffc030315d40]: cmd_opcode=24 cmd_arg=0x805 cmd_flags=0xb5 cmd_retries=0 stop_opcode=0 stop_arg=0x0 stop_flags=0x0 stop_retries=0 sbc_opcode=0 sbc_arg=0x0 sbc_flags=0x0 sbc_retires=0 blocks=1 block_size=512 blk_addr=0 data_flags=0x100 tag=0 can_retune=0 doing_retune=0 retune_now=0 need_retune=0 hold_retune=1 retune_period=0
         mmcqd/0-339   [000] d..1 259069.623124: bcm2835_sdhost_request: read:SDEDM:00010801
         mmcqd/0-339   [000] d..1 259069.623130: bcm2835_sdhost_send_command: read:SDCMD:0000000d
         mmcqd/0-339   [000] d..1 259069.623133: bcm2835_sdhost_send_command: read:SDHSTS:00000000
         mmcqd/0-339   [000] d..1 259069.623136: bcm2835_sdhost_send_command: write:SDHCFG:0000041e
         mmcqd/0-339   [000] d..1 259069.623137: bcm2835_sdhost_send_command: write:SDHBCT:00000200
         mmcqd/0-339   [000] d..1 259069.623139: bcm2835_sdhost_send_command: write:SDHBLC:00000001
         mmcqd/0-339   [000] d..1 259069.623140: bcm2835_sdhost_send_command: write:SDARG:00000805
         mmcqd/0-339   [000] d..1 259069.623144: bcm2835_sdhost_send_command: write:SDCMD:00008098
         mmcqd/0-339   [000] d..1 259069.623148: bcm2835_sdhost_finish_command: read:SDCMD:00000098
         mmcqd/0-339   [000] d..1 259069.623152: bcm2835_sdhost_finish_command: read:SDRSP0:00000900
          iozone-3770  [001] d.h2 259069.623164: bcm2835_sdhost_irq: read:SDHSTS:00000001
          iozone-3770  [001] d.h2 259069.623168: bcm2835_sdhost_irq: write:SDHSTS:00000701
          iozone-3770  [001] d.h2 259069.623171: bcm2835_sdhost_irq: write:SDHCFG:0000050e
          iozone-3770  [001] d.h3 259069.623176: bcm2835_sdhost_transfer_pio: read:SDEDM:0001080a
