# tracer: function
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
             tee-3802  [003] .... 259071.626064: tracing_mark_write: start iozone:-I -O -i 0 -s 64 -r 4 -f /sdcard/tmp
     kworker/0:1-3712  [000] ...1 259071.776832: mmc_rescan <-process_one_work
     kworker/0:1-3712  [000] ...1 259071.776842: mmc_sd_detect <-mmc_rescan
     kworker/0:1-3712  [000] ...1 259071.776843: mmc_get_card <-mmc_sd_detect
     kworker/0:1-3712  [000] ...1 259071.776856: mmc_sd_alive <-_mmc_detect_card_removed.part.0
     kworker/0:1-3712  [000] ...1 259071.776859: mmc_send_status <-mmc_sd_alive
     kworker/0:1-3712  [000] ...1 259071.776861: mmc_wait_for_cmd <-__mmc_send_status
     kworker/0:1-3712  [000] ...1 259071.776862: mmc_wait_for_req <-mmc_wait_for_cmd
     kworker/0:1-3712  [000] ...1 259071.776864: mmc_start_request <-mmc_wait_for_req
     kworker/0:1-3712  [000] ...1 259071.776866: mmc_retune_hold <-mmc_start_request
     kworker/0:1-3712  [000] ...1 259071.776873: mmc_retune <-__mmc_start_request
     kworker/0:1-3712  [000] .... 259071.776887: mmc_request_start: mmc0: start struct mmc_request[ffffff8010763bc0]: cmd_opcode=13 cmd_arg=0x59b40000 cmd_flags=0x195 cmd_retries=3 stop_opcode=0 stop_arg=0x0 stop_flags=0x0 stop_retries=0 sbc_opcode=0 sbc_arg=0x0 sbc_flags=0x0 sbc_retires=0 blocks=0 block_size=0 blk_addr=0 data_flags=0x0 tag=0 can_retune=0 doing_retune=0 retune_now=0 need_retune=0 hold_retune=1 retune_period=0
     kworker/0:1-3712  [000] d..1 259071.776900: bcm2835_sdhost_request: read:SDEDM:00010801
     kworker/0:1-3712  [000] d..1 259071.776907: bcm2835_sdhost_send_command: read:SDCMD:0000000d
     kworker/0:1-3712  [000] d..1 259071.776917: bcm2835_sdhost_send_command: read:SDHSTS:00000000
     kworker/0:1-3712  [000] d..1 259071.776919: bcm2835_sdhost_send_command: write:SDARG:59b40000
     kworker/0:1-3712  [000] d..1 259071.776921: bcm2835_sdhost_send_command: write:SDCMD:0000800d
     kworker/0:1-3712  [000] d..1 259071.776924: bcm2835_sdhost_finish_command: read:SDCMD:0000800d
     kworker/0:1-3712  [000] d..1 259071.776926: bcm2835_sdhost_finish_command: read:SDCMD:0000000d
     kworker/0:1-3712  [000] d..1 259071.776928: bcm2835_sdhost_finish_command: read:SDRSP0:00000900
     kworker/0:1-3712  [000] ...1 259071.776940: mmc_wait_for_req_done <-mmc_wait_for_req
     ksoftirqd/0-7     [000] ..s1 259071.776959: mmc_request_done <-bcm2835_sdhost_tasklet_finish
     ksoftirqd/0-7     [000] ..s. 259071.776964: mmc_request_done: mmc0: end struct mmc_request[ffffff8010763bc0]: cmd_opcode=13 cmd_err=0 cmd_resp=0x900 0x0 0x0 0x0 cmd_retries=3 stop_opcode=0 stop_err=0 stop_resp=0x0 0x0 0x0 0x0 stop_retries=0 sbc_opcode=0 sbc_err=0 sbc_resp=0x0 0x0 0x0 0x0 sbc_retries=0 bytes_xfered=0 data_err=0 tag=0 can_retune=0 doing_retune=0 retune_now=0 need_retune=0 hold_retune=1 retune_period=0
     ksoftirqd/0-7     [000] ..s1 259071.776967: mmc_wait_done <-mmc_request_done
     kworker/0:1-3712  [000] ...1 259071.776980: mmc_retune_release <-mmc_wait_for_req_done
     kworker/0:1-3712  [000] ...1 259071.776983: mmc_put_card <-mmc_sd_detect
     kworker/0:1-3712  [000] ...1 259071.776986: mmc_release_host <-mmc_put_card
    kworker/u8:2-3605  [000] ...1 259071.920083: mmc_init_request <-alloc_request_size
    kworker/u8:2-3605  [000] ...1 259071.920117: mmc_init_request <-alloc_request_size
    kworker/u8:2-3605  [000] ...1 259071.920135: mmc_init_request <-alloc_request_size
    kworker/u8:2-3605  [000] d..2 259071.920170: mmc_request_fn <-__blk_run_queue
         mmcqd/0-339   [003] d..2 259071.920190: mmc_prep_request <-blk_peek_request
         mmcqd/0-339   [003] d..2 259071.920193: mmc_access_rpmb <-mmc_prep_request
         mmcqd/0-339   [003] ...1 259071.920196: mmc_blk_issue_rq <-mmc_queue_thread
         mmcqd/0-339   [003] ...1 259071.920198: mmc_get_card <-mmc_blk_issue_rq
         mmcqd/0-339   [003] ...1 259071.920203: mmc_blk_issue_rw_rq <-mmc_blk_issue_rq
         mmcqd/0-339   [003] ...1 259071.920205: mmc_blk_rw_rq_prep <-mmc_blk_issue_rw_rq
         mmcqd/0-339   [003] ...1 259071.920208: mmc_set_data_timeout <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [003] ...1 259071.920210: mmc_queue_map_sg <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [003] ...1 259071.920215: mmc_start_areq <-mmc_blk_issue_rw_rq
         mmcqd/0-339   [003] ...1 259071.920217: mmc_start_request <-mmc_start_areq
         mmcqd/0-339   [003] ...1 259071.920218: mmc_retune_hold <-mmc_start_request
         mmcqd/0-339   [003] ...1 259071.920226: mmc_retune <-__mmc_start_request
         mmcqd/0-339   [003] .... 259071.920237: mmc_request_start: mmc0: start struct mmc_request[ffffffc036b4b540]: cmd_opcode=25 cmd_arg=0x805 cmd_flags=0xb5 cmd_retries=0 stop_opcode=12 stop_arg=0x0 stop_flags=0x49d stop_retries=0 sbc_opcode=23 sbc_arg=0x2 sbc_flags=0x15 sbc_retires=0 blocks=2 block_size=512 blk_addr=0 data_flags=0x100 tag=0 can_retune=0 doing_retune=0 retune_now=0 need_retune=0 hold_retune=1 retune_period=0
         mmcqd/0-339   [003] d..1 259071.920270: bcm2835_sdhost_request: read:SDEDM:00010801
         mmcqd/0-339   [003] d..1 259071.920275: bcm2835_sdhost_send_command: read:SDCMD:0000000d
         mmcqd/0-339   [003] d..1 259071.920278: bcm2835_sdhost_send_command: read:SDHSTS:00000000
         mmcqd/0-339   [003] d..1 259071.920280: bcm2835_sdhost_send_command: write:SDHCFG:0000040e
         mmcqd/0-339   [003] d..1 259071.920281: bcm2835_sdhost_send_command: write:SDHBCT:00000200
         mmcqd/0-339   [003] d..1 259071.920282: bcm2835_sdhost_send_command: write:SDHBLC:00000002
         mmcqd/0-339   [003] d..1 259071.920283: bcm2835_sdhost_send_command: write:SDARG:00000805
         mmcqd/0-339   [003] d..1 259071.920286: bcm2835_sdhost_send_command: write:SDCMD:00008099
         mmcqd/0-339   [003] d..1 259071.920292: bcm2835_sdhost_finish_command: read:SDCMD:00000099
         mmcqd/0-339   [003] d..1 259071.920295: bcm2835_sdhost_finish_command: read:SDRSP0:00000900
         mmcqd/0-339   [003] d..2 259071.920301: mmc_prep_request <-blk_peek_request
         mmcqd/0-339   [003] d..2 259071.920302: mmc_access_rpmb <-mmc_prep_request
         mmcqd/0-339   [003] ...1 259071.920304: mmc_blk_issue_rq <-mmc_queue_thread
         mmcqd/0-339   [003] ...1 259071.920305: mmc_blk_issue_rw_rq <-mmc_blk_issue_rq
         mmcqd/0-339   [003] ...1 259071.920305: mmc_blk_rw_rq_prep <-mmc_blk_issue_rw_rq
         mmcqd/0-339   [003] ...1 259071.920307: mmc_set_data_timeout <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [003] ...1 259071.920308: mmc_queue_map_sg <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [003] ...1 259071.920310: mmc_start_areq <-mmc_blk_issue_rw_rq
          <idle>-0     [000] d.s2 259071.920731: bcm2835_sdhost_dma_complete: read:SDHSTS:00000000
          <idle>-0     [000] d.s2 259071.920734: bcm2835_sdhost_dma_complete: read:SDCMD:00000099
          <idle>-0     [000] d.s2 259071.920735: bcm2835_sdhost_dma_complete: read:SDEDM:00010801
          <idle>-0     [000] d.s2 259071.920739: bcm2835_sdhost_finish_data: write:SDHCFG:0000040e
          <idle>-0     [000] d.s2 259071.920741: bcm2835_sdhost_send_command: read:SDCMD:00000099
          <idle>-0     [000] d.s2 259071.920743: bcm2835_sdhost_send_command: read:SDHSTS:00000000
          <idle>-0     [000] d.s2 259071.920744: bcm2835_sdhost_send_command: write:SDARG:00000000
          <idle>-0     [000] d.s2 259071.920745: bcm2835_sdhost_send_command: write:SDCMD:0000880c
