# tracer: function
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
             tee-3818  [002] .... 259072.781293: tracing_mark_write: start iozone:-I -O -i 0 -s 64 -r 4 -f /sdcard/tmp
     kworker/0:1-3712  [000] ...1 259072.800776: mmc_rescan <-process_one_work
     kworker/0:1-3712  [000] ...1 259072.800785: mmc_sd_detect <-mmc_rescan
     kworker/0:1-3712  [000] ...1 259072.800787: mmc_get_card <-mmc_sd_detect
     kworker/0:1-3712  [000] ...1 259072.800799: mmc_sd_alive <-_mmc_detect_card_removed.part.0
     kworker/0:1-3712  [000] ...1 259072.800800: mmc_send_status <-mmc_sd_alive
     kworker/0:1-3712  [000] ...1 259072.800803: mmc_wait_for_cmd <-__mmc_send_status
     kworker/0:1-3712  [000] ...1 259072.800805: mmc_wait_for_req <-mmc_wait_for_cmd
     kworker/0:1-3712  [000] ...1 259072.800808: mmc_start_request <-mmc_wait_for_req
     kworker/0:1-3712  [000] ...1 259072.800809: mmc_retune_hold <-mmc_start_request
     kworker/0:1-3712  [000] ...1 259072.800817: mmc_retune <-__mmc_start_request
     kworker/0:1-3712  [000] .... 259072.800827: mmc_request_start: mmc0: start struct mmc_request[ffffff8010763bc0]: cmd_opcode=13 cmd_arg=0x59b40000 cmd_flags=0x195 cmd_retries=3 stop_opcode=0 stop_arg=0x0 stop_flags=0x0 stop_retries=0 sbc_opcode=0 sbc_arg=0x0 sbc_flags=0x0 sbc_retires=0 blocks=0 block_size=0 blk_addr=0 data_flags=0x0 tag=0 can_retune=0 doing_retune=0 retune_now=0 need_retune=0 hold_retune=1 retune_period=0
     kworker/0:1-3712  [000] d..1 259072.800839: bcm2835_sdhost_request: read:SDEDM:00010801
     kworker/0:1-3712  [000] d..1 259072.800843: bcm2835_sdhost_send_command: read:SDCMD:0000000d
     kworker/0:1-3712  [000] d..1 259072.800847: bcm2835_sdhost_send_command: read:SDHSTS:00000000
     kworker/0:1-3712  [000] d..1 259072.800849: bcm2835_sdhost_send_command: write:SDARG:59b40000
     kworker/0:1-3712  [000] d..1 259072.800851: bcm2835_sdhost_send_command: write:SDCMD:0000800d
     kworker/0:1-3712  [000] d..1 259072.800855: bcm2835_sdhost_finish_command: read:SDCMD:0000000d
     kworker/0:1-3712  [000] d..1 259072.800859: bcm2835_sdhost_finish_command: read:SDRSP0:00000900
     kworker/0:1-3712  [000] ...1 259072.800878: mmc_wait_for_req_done <-mmc_wait_for_req
     ksoftirqd/0-7     [000] ..s1 259072.800893: mmc_request_done <-bcm2835_sdhost_tasklet_finish
     ksoftirqd/0-7     [000] ..s. 259072.800898: mmc_request_done: mmc0: end struct mmc_request[ffffff8010763bc0]: cmd_opcode=13 cmd_err=0 cmd_resp=0x900 0x0 0x0 0x0 cmd_retries=3 stop_opcode=0 stop_err=0 stop_resp=0x0 0x0 0x0 0x0 stop_retries=0 sbc_opcode=0 sbc_err=0 sbc_resp=0x0 0x0 0x0 0x0 sbc_retries=0 bytes_xfered=0 data_err=0 tag=0 can_retune=0 doing_retune=0 retune_now=0 need_retune=0 hold_retune=1 retune_period=0
     ksoftirqd/0-7     [000] ..s1 259072.800900: mmc_wait_done <-mmc_request_done
     kworker/0:1-3712  [000] ...1 259072.800910: mmc_retune_release <-mmc_wait_for_req_done
     kworker/0:1-3712  [000] ...1 259072.800914: mmc_put_card <-mmc_sd_detect
     kworker/0:1-3712  [000] ...1 259072.800915: mmc_release_host <-mmc_put_card
     irq/77-mmc1-93    [002] ...1 259072.898080: mmc_io_rw_direct <-process_sdio_pending_irqs
     irq/77-mmc1-93    [002] ...1 259072.898087: mmc_io_rw_direct_host <-mmc_io_rw_direct
     irq/77-mmc1-93    [002] ...1 259072.898091: mmc_wait_for_cmd <-mmc_io_rw_direct_host
     irq/77-mmc1-93    [002] ...1 259072.898095: mmc_wait_for_req <-mmc_wait_for_cmd
     irq/77-mmc1-93    [002] ...1 259072.898099: mmc_start_request <-mmc_wait_for_req
     irq/77-mmc1-93    [002] ...1 259072.898100: mmc_retune_hold <-mmc_start_request
     irq/77-mmc1-93    [002] ...1 259072.898107: mmc_retune <-__mmc_start_request
     irq/77-mmc1-93    [002] ..s5 259072.898146: mmc_request_done <-bcm2835_mmc_tasklet_finish
     irq/77-mmc1-93    [002] ..s5 259072.898146: mmc_wait_done <-mmc_request_done
     irq/77-mmc1-93    [002] ...1 259072.898146: mmc_wait_for_req_done <-mmc_wait_for_req
     irq/77-mmc1-93    [002] ...1 259072.898161: mmc_retune_release <-mmc_wait_for_req_done
     irq/77-mmc1-93    [002] ...1 259072.898176: mmc_io_rw_extended <-sdio_io_rw_ext_helper
     irq/77-mmc1-93    [002] ...1 259072.898178: mmc_set_data_timeout <-mmc_io_rw_extended
     irq/77-mmc1-93    [002] ...1 259072.898180: mmc_wait_for_req <-mmc_io_rw_extended
     irq/77-mmc1-93    [002] ...1 259072.898180: mmc_start_request <-mmc_wait_for_req
     irq/77-mmc1-93    [002] ...1 259072.898181: mmc_retune_hold <-mmc_start_request
     irq/77-mmc1-93    [002] ...1 259072.898183: mmc_retune <-__mmc_start_request
     irq/77-mmc1-93    [002] ...1 259072.898196: mmc_wait_for_req_done <-mmc_wait_for_req
          <idle>-0     [003] ..s2 259072.898212: mmc_request_done <-bcm2835_mmc_tasklet_finish
          <idle>-0     [003] ..s2 259072.898219: mmc_wait_done <-mmc_request_done
     irq/77-mmc1-93    [002] ...1 259072.898238: mmc_retune_release <-mmc_wait_for_req_done
     irq/77-mmc1-93    [002] ...1 259072.898242: mmc_io_rw_extended <-sdio_io_rw_ext_helper
     irq/77-mmc1-93    [002] ...1 259072.898243: mmc_set_data_timeout <-mmc_io_rw_extended
     irq/77-mmc1-93    [002] ...1 259072.898244: mmc_wait_for_req <-mmc_io_rw_extended
     irq/77-mmc1-93    [002] ...1 259072.898245: mmc_start_request <-mmc_wait_for_req
     irq/77-mmc1-93    [002] ...1 259072.898245: mmc_retune_hold <-mmc_start_request
     irq/77-mmc1-93    [002] ...1 259072.898246: mmc_retune <-__mmc_start_request
     irq/77-mmc1-93    [002] ...1 259072.898258: mmc_wait_for_req_done <-mmc_wait_for_req
          <idle>-0     [002] ..s2 259072.898271: mmc_request_done <-bcm2835_mmc_tasklet_finish
          <idle>-0     [002] ..s2 259072.898274: mmc_wait_done <-mmc_request_done
     irq/77-mmc1-93    [002] ...1 259072.898283: mmc_retune_release <-mmc_wait_for_req_done
     irq/77-mmc1-93    [002] ...1 259072.898314: mmc_release_host <-sdio_run_irqs
    kworker/u8:1-3771  [003] ...1 259072.898335: mmc_io_rw_direct <-sdio_writeb
    kworker/u8:1-3771  [003] ...1 259072.898336: mmc_io_rw_direct_host <-mmc_io_rw_direct
