# tracer: function
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
             tee-3753  [003] .... 259068.142415: tracing_mark_write: start iozone:-I -O -i 0 -s 64 -r 4 -f /sdcard/tmp
    kworker/u8:2-3605  [000] ...1 259068.436335: mmc_init_request <-alloc_request_size
    kworker/u8:2-3605  [000] ...1 259068.436366: mmc_init_request <-alloc_request_size
    kworker/u8:2-3605  [000] ...1 259068.436385: mmc_init_request <-alloc_request_size
    kworker/u8:2-3605  [000] d..2 259068.436412: mmc_request_fn <-__blk_run_queue
         mmcqd/0-339   [001] d..2 259068.436444: mmc_prep_request <-blk_peek_request
         mmcqd/0-339   [001] d..2 259068.436447: mmc_access_rpmb <-mmc_prep_request
         mmcqd/0-339   [001] ...1 259068.436450: mmc_blk_issue_rq <-mmc_queue_thread
         mmcqd/0-339   [001] ...1 259068.436452: mmc_get_card <-mmc_blk_issue_rq
         mmcqd/0-339   [001] ...1 259068.436459: mmc_blk_issue_rw_rq <-mmc_blk_issue_rq
         mmcqd/0-339   [001] ...1 259068.436461: mmc_blk_rw_rq_prep <-mmc_blk_issue_rw_rq
         mmcqd/0-339   [001] ...1 259068.436463: mmc_set_data_timeout <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [001] ...1 259068.436466: mmc_queue_map_sg <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [001] ...1 259068.436469: mmc_start_areq <-mmc_blk_issue_rw_rq
         mmcqd/0-339   [001] ...1 259068.436473: mmc_start_request <-mmc_start_areq
         mmcqd/0-339   [001] ...1 259068.436474: mmc_retune_hold <-mmc_start_request
         mmcqd/0-339   [001] ...1 259068.436485: mmc_retune <-__mmc_start_request
         mmcqd/0-339   [001] .... 259068.436512: mmc_request_start: mmc0: start struct mmc_request[ffffffc036b4b540]: cmd_opcode=24 cmd_arg=0x805 cmd_flags=0xb5 cmd_retries=0 stop_opcode=0 stop_arg=0x0 stop_flags=0x0 stop_retries=0 sbc_opcode=0 sbc_arg=0x0 sbc_flags=0x0 sbc_retires=0 blocks=1 block_size=512 blk_addr=0 data_flags=0x100 tag=0 can_retune=0 doing_retune=0 retune_now=0 need_retune=0 hold_retune=1 retune_period=0
         mmcqd/0-339   [001] d..1 259068.436525: bcm2835_sdhost_request: read:SDEDM:00010801
         mmcqd/0-339   [001] d..1 259068.436532: bcm2835_sdhost_send_command: read:SDCMD:0000000d
         mmcqd/0-339   [001] d..1 259068.436535: bcm2835_sdhost_send_command: read:SDHSTS:00000000
         mmcqd/0-339   [001] d..1 259068.436538: bcm2835_sdhost_send_command: write:SDHCFG:0000041e
         mmcqd/0-339   [001] d..1 259068.436539: bcm2835_sdhost_send_command: write:SDHBCT:00000200
         mmcqd/0-339   [001] d..1 259068.436540: bcm2835_sdhost_send_command: write:SDHBLC:00000001
         mmcqd/0-339   [001] d..1 259068.436542: bcm2835_sdhost_send_command: write:SDARG:00000805
         mmcqd/0-339   [001] d..1 259068.436544: bcm2835_sdhost_send_command: write:SDCMD:00008098
         mmcqd/0-339   [001] d..1 259068.436547: bcm2835_sdhost_finish_command: read:SDCMD:00008098
         mmcqd/0-339   [001] d..1 259068.436548: bcm2835_sdhost_finish_command: read:SDCMD:00000098
         mmcqd/0-339   [001] d..1 259068.436550: bcm2835_sdhost_finish_command: read:SDRSP0:00000900
         mmcqd/0-339   [001] d.h2 259068.436563: bcm2835_sdhost_irq: read:SDHSTS:00000001
         mmcqd/0-339   [001] d.h2 259068.436566: bcm2835_sdhost_irq: write:SDHSTS:00000701
         mmcqd/0-339   [001] d.h2 259068.436570: bcm2835_sdhost_irq: write:SDHCFG:0000050e
         mmcqd/0-339   [001] d.h3 259068.436575: bcm2835_sdhost_transfer_pio: read:SDEDM:0001080a
         mmcqd/0-339   [001] d.h3 259068.436577: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
         mmcqd/0-339   [001] d.h3 259068.436578: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
         mmcqd/0-339   [001] d.h3 259068.436579: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
         mmcqd/0-339   [001] d.h3 259068.436581: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
         mmcqd/0-339   [001] d.h3 259068.436582: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
         mmcqd/0-339   [001] d.h3 259068.436583: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
         mmcqd/0-339   [001] d.h3 259068.436584: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
         mmcqd/0-339   [001] d.h3 259068.436585: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
         mmcqd/0-339   [001] d.h3 259068.436586: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
         mmcqd/0-339   [001] d.h3 259068.436587: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
         mmcqd/0-339   [001] d.h3 259068.436588: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
         mmcqd/0-339   [001] d.h3 259068.436589: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
         mmcqd/0-339   [001] d.h3 259068.436591: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
         mmcqd/0-339   [001] d.h3 259068.436592: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
         mmcqd/0-339   [001] d.h3 259068.436593: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
         mmcqd/0-339   [001] d.h3 259068.436594: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
         mmcqd/0-339   [001] d.h3 259068.436595: bcm2835_sdhost_transfer_pio: read:SDEDM:00010803
         mmcqd/0-339   [001] d.h3 259068.436596: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
         mmcqd/0-339   [001] d.h3 259068.436597: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
         mmcqd/0-339   [001] d.h3 259068.436598: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
         mmcqd/0-339   [001] d.h3 259068.436600: bcm2835_sdhost_transfer_pio: write:SDDATA:00000000
