# tracer: function
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
             tee-3745  [002] .... 259067.570886: tracing_mark_write: start iozone:-I -O -i 0 -s 64 -r 4 -f /sdcard/tmp
     kworker/0:1-3712  [000] ...1 259067.680813: mmc_rescan <-process_one_work
     kworker/0:1-3712  [000] ...1 259067.680822: mmc_sd_detect <-mmc_rescan
     kworker/0:1-3712  [000] ...1 259067.680823: mmc_get_card <-mmc_sd_detect
     kworker/0:1-3712  [000] ...1 259067.680830: mmc_sd_alive <-_mmc_detect_card_removed.part.0
     kworker/0:1-3712  [000] ...1 259067.680832: mmc_send_status <-mmc_sd_alive
     kworker/0:1-3712  [000] ...1 259067.680833: mmc_wait_for_cmd <-__mmc_send_status
     kworker/0:1-3712  [000] ...1 259067.680835: mmc_wait_for_req <-mmc_wait_for_cmd
     kworker/0:1-3712  [000] ...1 259067.680838: mmc_start_request <-mmc_wait_for_req
     kworker/0:1-3712  [000] ...1 259067.680839: mmc_retune_hold <-mmc_start_request
     kworker/0:1-3712  [000] ...1 259067.680849: mmc_retune <-__mmc_start_request
     kworker/0:1-3712  [000] .... 259067.680861: mmc_request_start: mmc0: start struct mmc_request[ffffff8010763bc0]: cmd_opcode=13 cmd_arg=0x59b40000 cmd_flags=0x195 cmd_retries=3 stop_opcode=0 stop_arg=0x0 stop_flags=0x0 stop_retries=0 sbc_opcode=0 sbc_arg=0x0 sbc_flags=0x0 sbc_retires=0 blocks=0 block_size=0 blk_addr=0 data_flags=0x0 tag=0 can_retune=0 doing_retune=0 retune_now=0 need_retune=0 hold_retune=1 retune_period=0
     kworker/0:1-3712  [000] d..1 259067.680873: bcm2835_sdhost_request: read:SDEDM:00010801
     kworker/0:1-3712  [000] d..1 259067.680879: bcm2835_sdhost_send_command: read:SDCMD:0000000d
     kworker/0:1-3712  [000] d..1 259067.680883: bcm2835_sdhost_send_command: read:SDHSTS:00000000
     kworker/0:1-3712  [000] d..1 259067.680884: bcm2835_sdhost_send_command: write:SDARG:59b40000
     kworker/0:1-3712  [000] d..1 259067.680886: bcm2835_sdhost_send_command: write:SDCMD:0000800d
     kworker/0:1-3712  [000] d..1 259067.680888: bcm2835_sdhost_finish_command: read:SDCMD:0000800d
     kworker/0:1-3712  [000] d..1 259067.680890: bcm2835_sdhost_finish_command: read:SDCMD:0000000d
     kworker/0:1-3712  [000] d..1 259067.680892: bcm2835_sdhost_finish_command: read:SDRSP0:00000900
     kworker/0:1-3712  [000] ...1 259067.680904: mmc_wait_for_req_done <-mmc_wait_for_req
     ksoftirqd/0-7     [000] ..s1 259067.680928: mmc_request_done <-bcm2835_sdhost_tasklet_finish
