# tracer: function
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
             tee-3007  [001] .... 250515.771908: tracing_mark_write: start dd
              dd-3008  [002] ...1 250515.777204: mmc_blk_open <-__blkdev_get
              dd-3008  [002] ...1 250515.777210: mmc_blk_get.isra.0 <-mmc_blk_open
              dd-3008  [002] ...1 250515.777326: mmc_init_request <-alloc_request_size
    kworker/2:1H-101   [002] d..2 250515.777388: mmc_request_fn <-__blk_run_queue
         mmcqd/0-339   [001] d..2 250515.777430: mmc_prep_request <-blk_peek_request
         mmcqd/0-339   [001] d..2 250515.777436: mmc_access_rpmb <-mmc_prep_request
         mmcqd/0-339   [001] ...1 250515.777441: mmc_blk_issue_rq <-mmc_queue_thread
         mmcqd/0-339   [001] ...1 250515.777442: mmc_get_card <-mmc_blk_issue_rq
         mmcqd/0-339   [001] ...1 250515.777451: mmc_blk_issue_rw_rq <-mmc_blk_issue_rq
         mmcqd/0-339   [001] ...1 250515.777453: mmc_blk_rw_rq_prep <-mmc_blk_issue_rw_rq
         mmcqd/0-339   [001] ...1 250515.777455: mmc_set_data_timeout <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [001] ...1 250515.777457: mmc_queue_map_sg <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [001] ...1 250515.777461: mmc_start_areq <-mmc_blk_issue_rw_rq
         mmcqd/0-339   [001] ...1 250515.777463: mmc_start_request <-mmc_start_areq
         mmcqd/0-339   [001] ...1 250515.777464: mmc_retune_hold <-mmc_start_request
         mmcqd/0-339   [001] ...1 250515.777471: mmc_retune <-__mmc_start_request
         mmcqd/0-339   [001] .... 250515.777485: mmc_request_start: mmc0: start struct mmc_request[ffffffc03724ad40]: cmd_opcode=18 cmd_arg=0x800 cmd_flags=0xb5 cmd_retries=0 stop_opcode=12 stop_arg=0x0 stop_flags=0x95 stop_retries=0 sbc_opcode=23 sbc_arg=0x8 sbc_flags=0x15 sbc_retires=0 blocks=8 block_size=512 blk_addr=0 data_flags=0x200 tag=0 can_retune=0 doing_retune=0 retune_now=0 need_retune=0 hold_retune=1 retune_period=0
         mmcqd/0-339   [001] d..1 250515.777518: bcm2835_sdhost_request: read:SDEDM:00010801
         mmcqd/0-339   [001] d..1 250515.777522: bcm2835_sdhost_send_command: read:SDCMD:0000000d
         mmcqd/0-339   [001] d..1 250515.777527: bcm2835_sdhost_send_command: read:SDHSTS:00000000
         mmcqd/0-339   [001] d..1 250515.777528: bcm2835_sdhost_send_command: write:SDARG:00000008
         mmcqd/0-339   [001] d..1 250515.777530: bcm2835_sdhost_send_command: write:SDCMD:00008017
         mmcqd/0-339   [001] d..1 250515.777532: bcm2835_sdhost_finish_command: read:SDCMD:00008017
         mmcqd/0-339   [001] d..1 250515.777533: bcm2835_sdhost_finish_command: read:SDCMD:00000017
         mmcqd/0-339   [001] d..1 250515.777535: bcm2835_sdhost_finish_command: read:SDRSP0:00000900
         mmcqd/0-339   [001] d..1 250515.777537: bcm2835_sdhost_send_command: read:SDCMD:00000017
         mmcqd/0-339   [001] d..1 250515.777539: bcm2835_sdhost_send_command: read:SDHSTS:00000000
         mmcqd/0-339   [001] d..1 250515.777540: bcm2835_sdhost_send_command: write:SDHCFG:0000040e
         mmcqd/0-339   [001] d..1 250515.777541: bcm2835_sdhost_send_command: write:SDHBCT:00000200
         mmcqd/0-339   [001] d..1 250515.777542: bcm2835_sdhost_send_command: write:SDHBLC:00000008
         mmcqd/0-339   [001] d..1 250515.777543: bcm2835_sdhost_send_command: write:SDARG:00000800
         mmcqd/0-339   [001] d..1 250515.777545: bcm2835_sdhost_send_command: write:SDCMD:00008052
         mmcqd/0-339   [001] d..1 250515.777549: bcm2835_sdhost_finish_command: read:SDCMD:00000052
         mmcqd/0-339   [001] d..1 250515.777550: bcm2835_sdhost_finish_command: read:SDRSP0:00000900
         mmcqd/0-339   [001] ...1 250515.777556: mmc_blk_issue_rq <-mmc_queue_thread
         mmcqd/0-339   [001] ...1 250515.777557: mmc_blk_issue_rw_rq <-mmc_blk_issue_rq
         mmcqd/0-339   [001] ...1 250515.777558: mmc_start_areq <-mmc_blk_issue_rw_rq
          <idle>-0     [003] d.s2 250515.778101: bcm2835_sdhost_dma_complete: read:SDHSTS:00000001
          <idle>-0     [003] d.s2 250515.778104: bcm2835_sdhost_dma_complete: read:SDCMD:00000052
          <idle>-0     [003] d.s2 250515.778106: bcm2835_sdhost_dma_complete: read:SDEDM:00010834
          <idle>-0     [003] d.s3 250515.778110: bcm2835_sdhost_dma_complete: read:SDEDM:00010834
          <idle>-0     [003] d.s3 250515.778111: bcm2835_sdhost_dma_complete: read:SDDATA:3d485be8
          <idle>-0     [003] d.s3 250515.778112: bcm2835_sdhost_dma_complete: read:SDEDM:00010824
          <idle>-0     [003] d.s3 250515.778113: bcm2835_sdhost_dma_complete: read:SDDATA:8273abd4
          <idle>-0     [003] d.s3 250515.778115: bcm2835_sdhost_dma_complete: read:SDEDM:00010814
          <idle>-0     [003] d.s3 250515.778116: bcm2835_sdhost_dma_complete: read:SDDATA:df2c89a6
          <idle>-0     [003] d.s2 250515.778118: bcm2835_sdhost_finish_data: write:SDHCFG:0000040e
          <idle>-0     [003] d.s2 250515.778120: bcm2835_sdhost_transfer_complete: read:SDEDM:00010804
          <idle>-0     [003] d.s2 250515.778121: bcm2835_sdhost_transfer_complete: write:SDEDM:00090804
          <idle>-0     [003] ..s2 250515.778128: mmc_request_done <-bcm2835_sdhost_tasklet_finish
          <idle>-0     [003] ..s1 250515.778137: mmc_request_done: mmc0: end struct mmc_request[ffffffc03724ad40]: cmd_opcode=18 cmd_err=0 cmd_resp=0x900 0x0 0x0 0x0 cmd_retries=0 stop_opcode=12 stop_err=0 stop_resp=0x0 0x0 0x0 0x0 stop_retries=0 sbc_opcode=23 sbc_err=0 sbc_resp=0x900 0x0 0x0 0x0 sbc_retries=0 bytes_xfered=4096 data_err=0 tag=0 can_retune=0 doing_retune=0 retune_now=0 need_retune=0 hold_retune=1 retune_period=0
          <idle>-0     [003] ..s2 250515.778140: mmc_wait_data_done <-mmc_request_done
         mmcqd/0-339   [003] ...1 250515.778159: mmc_blk_err_check <-mmc_start_areq
         mmcqd/0-339   [003] ...1 250515.778161: mmc_retune_release <-mmc_start_areq
