# tracer: function
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
             tee-3778  [002] .... 259069.918022: tracing_mark_write: start iozone:-I -O -i 0 -s 64 -r 4 -f /sdcard/tmp
    kworker/u8:1-3771  [001] ...1 259070.211864: mmc_init_request <-alloc_request_size
    kworker/u8:1-3771  [001] ...1 259070.211912: mmc_init_request <-alloc_request_size
    kworker/u8:1-3771  [001] ...1 259070.211934: mmc_init_request <-alloc_request_size
    kworker/u8:1-3771  [001] d..2 259070.211964: mmc_request_fn <-__blk_run_queue
         mmcqd/0-339   [003] d..2 259070.212001: mmc_prep_request <-blk_peek_request
         mmcqd/0-339   [003] d..2 259070.212005: mmc_access_rpmb <-mmc_prep_request
         mmcqd/0-339   [003] ...1 259070.212010: mmc_blk_issue_rq <-mmc_queue_thread
         mmcqd/0-339   [003] ...1 259070.212012: mmc_get_card <-mmc_blk_issue_rq
         mmcqd/0-339   [003] ...1 259070.212020: mmc_blk_issue_rw_rq <-mmc_blk_issue_rq
         mmcqd/0-339   [003] ...1 259070.212022: mmc_blk_rw_rq_prep <-mmc_blk_issue_rw_rq
         mmcqd/0-339   [003] ...1 259070.212025: mmc_set_data_timeout <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [003] ...1 259070.212027: mmc_queue_map_sg <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [003] ...1 259070.212032: mmc_start_areq <-mmc_blk_issue_rw_rq
         mmcqd/0-339   [003] ...1 259070.212035: mmc_start_request <-mmc_start_areq
         mmcqd/0-339   [003] ...1 259070.212036: mmc_retune_hold <-mmc_start_request
         mmcqd/0-339   [003] ...1 259070.212051: mmc_retune <-__mmc_start_request
         mmcqd/0-339   [003] .... 259070.212066: mmc_request_start: mmc0: start struct mmc_request[ffffffc0301a7140]: cmd_opcode=24 cmd_arg=0x805 cmd_flags=0xb5 cmd_retries=0 stop_opcode=0 stop_arg=0x0 stop_flags=0x0 stop_retries=0 sbc_opcode=0 sbc_arg=0x0 sbc_flags=0x0 sbc_retires=0 blocks=1 block_size=512 blk_addr=0 data_flags=0x100 tag=0 can_retune=0 doing_retune=0 retune_now=0 need_retune=0 hold_retune=1 retune_period=0
         mmcqd/0-339   [003] d..1 259070.212074: bcm2835_sdhost_request: read:SDEDM:00010801
         mmcqd/0-339   [003] d..1 259070.212079: bcm2835_sdhost_send_command: read:SDCMD:0000000d
         mmcqd/0-339   [003] d..1 259070.212083: bcm2835_sdhost_send_command: read:SDHSTS:00000000
         mmcqd/0-339   [003] d..1 259070.212085: bcm2835_sdhost_send_command: write:SDHCFG:0000041e
         mmcqd/0-339   [003] d..1 259070.212086: bcm2835_sdhost_send_command: write:SDHBCT:00000200
         mmcqd/0-339   [003] d..1 259070.212087: bcm2835_sdhost_send_command: write:SDHBLC:00000001
         mmcqd/0-339   [003] d..1 259070.212088: bcm2835_sdhost_send_command: write:SDARG:00000805
         mmcqd/0-339   [003] d..1 259070.212091: bcm2835_sdhost_send_command: write:SDCMD:00008098
         mmcqd/0-339   [003] d..1 259070.212093: bcm2835_sdhost_finish_command: read:SDCMD:00008098
         mmcqd/0-339   [003] d..1 259070.212095: bcm2835_sdhost_finish_command: read:SDCMD:00000098
         mmcqd/0-339   [003] d..1 259070.212097: bcm2835_sdhost_finish_command: read:SDRSP0:00000900
          <idle>-0     [002] d.h2 259070.212113: bcm2835_sdhost_irq: read:SDHSTS:00000001
         mmcqd/0-339   [003] d..2 259070.212113: mmc_prep_request <-blk_peek_request
         mmcqd/0-339   [003] d..2 259070.212114: mmc_access_rpmb <-mmc_prep_request
         mmcqd/0-339   [003] ...1 259070.212117: mmc_blk_issue_rq <-mmc_queue_thread
