# tracer: function
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
             tee-3810  [002] .... 259072.195283: tracing_mark_write: start iozone:-I -O -i 0 -s 64 -r 4 -f /sdcard/tmp
    kworker/u8:0-3714  [001] ...1 259072.488844: mmc_init_request <-alloc_request_size
    kworker/u8:0-3714  [001] ...1 259072.488902: mmc_init_request <-alloc_request_size
    kworker/u8:0-3714  [001] ...1 259072.488918: mmc_init_request <-alloc_request_size
    kworker/u8:0-3714  [001] d..2 259072.488963: mmc_request_fn <-__blk_run_queue
         mmcqd/0-339   [002] d..2 259072.488995: mmc_prep_request <-blk_peek_request
         mmcqd/0-339   [002] d..2 259072.489002: mmc_access_rpmb <-mmc_prep_request
         mmcqd/0-339   [002] ...1 259072.489007: mmc_blk_issue_rq <-mmc_queue_thread
         mmcqd/0-339   [002] ...1 259072.489009: mmc_get_card <-mmc_blk_issue_rq
         mmcqd/0-339   [002] ...1 259072.489016: mmc_blk_issue_rw_rq <-mmc_blk_issue_rq
         mmcqd/0-339   [002] ...1 259072.489019: mmc_blk_rw_rq_prep <-mmc_blk_issue_rw_rq
         mmcqd/0-339   [002] ...1 259072.489023: mmc_set_data_timeout <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [002] ...1 259072.489025: mmc_queue_map_sg <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [002] ...1 259072.489030: mmc_start_areq <-mmc_blk_issue_rw_rq
         mmcqd/0-339   [002] ...1 259072.489033: mmc_start_request <-mmc_start_areq
         mmcqd/0-339   [002] ...1 259072.489035: mmc_retune_hold <-mmc_start_request
         mmcqd/0-339   [002] ...1 259072.489043: mmc_retune <-__mmc_start_request
         mmcqd/0-339   [002] .... 259072.489063: mmc_request_start: mmc0: start struct mmc_request[ffffffc0301a4140]: cmd_opcode=24 cmd_arg=0x806 cmd_flags=0xb5 cmd_retries=0 stop_opcode=0 stop_arg=0x0 stop_flags=0x0 stop_retries=0 sbc_opcode=0 sbc_arg=0x0 sbc_flags=0x0 sbc_retires=0 blocks=1 block_size=512 blk_addr=0 data_flags=0x100 tag=0 can_retune=0 doing_retune=0 retune_now=0 need_retune=0 hold_retune=1 retune_period=0
         mmcqd/0-339   [002] d..1 259072.489072: bcm2835_sdhost_request: read:SDEDM:00010801
         mmcqd/0-339   [002] d..1 259072.489077: bcm2835_sdhost_send_command: read:SDCMD:0000000d
         mmcqd/0-339   [002] d..1 259072.489080: bcm2835_sdhost_send_command: read:SDHSTS:00000000
         mmcqd/0-339   [002] d..1 259072.489083: bcm2835_sdhost_send_command: write:SDHCFG:0000041e
         mmcqd/0-339   [002] d..1 259072.489084: bcm2835_sdhost_send_command: write:SDHBCT:00000200
         mmcqd/0-339   [002] d..1 259072.489085: bcm2835_sdhost_send_command: write:SDHBLC:00000001
         mmcqd/0-339   [002] d..1 259072.489086: bcm2835_sdhost_send_command: write:SDARG:00000806
         mmcqd/0-339   [002] d..1 259072.489088: bcm2835_sdhost_send_command: write:SDCMD:00008098
         mmcqd/0-339   [002] d..1 259072.489090: bcm2835_sdhost_finish_command: read:SDCMD:00008098
         mmcqd/0-339   [002] d..1 259072.489092: bcm2835_sdhost_finish_command: read:SDCMD:00000098
         mmcqd/0-339   [002] d..1 259072.489094: bcm2835_sdhost_finish_command: read:SDRSP0:00000900
          <idle>-0     [001] d.h2 259072.489098: bcm2835_sdhost_irq: read:SDHSTS:00000001
         mmcqd/0-339   [002] d..2 259072.489100: mmc_prep_request <-blk_peek_request
