# tracer: function
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | / _---=> hardirq/softirq
#                            || / _--=> preempt-depth
#                            ||| /     delay
#           TASK-PID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |       |   ||||       |         |
             tee-3786  [003] .... 259070.494200: tracing_mark_write: start iozone:-I -O -i 0 -s 64 -r 4 -f /sdcard/tmp
     kworker/0:1-3712  [000] ...1 259070.752819: mmc_rescan <-process_one_work
     kworker/0:1-3712  [000] ...1 259070.752827: mmc_sd_detect <-mmc_rescan
     kworker/0:1-3712  [000] ...1 259070.752829: mmc_get_card <-mmc_sd_detect
     kworker/0:1-3712  [000] ...1 259070.752836: mmc_sd_alive <-_mmc_detect_card_removed.part.0
     kworker/0:1-3712  [000] ...1 259070.752837: mmc_send_status <-mmc_sd_alive
     kworker/0:1-3712  [000] ...1 259070.752839: mmc_wait_for_cmd <-__mmc_send_status
     kworker/0:1-3712  [000] ...1 259070.752841: mmc_wait_for_req <-mmc_wait_for_cmd
     kworker/0:1-3712  [000] ...1 259070.752843: mmc_start_request <-mmc_wait_for_req
     kworker/0:1-3712  [000] ...1 259070.752844: mmc_retune_hold <-mmc_start_request
     kworker/0:1-3712  [000] ...1 259070.752852: mmc_retune <-__mmc_start_request
     kworker/0:1-3712  [000] .... 259070.752864: mmc_request_start: mmc0: start struct mmc_request[ffffff8010763bc0]: cmd_opcode=13 cmd_arg=0x59b40000 cmd_flags=0x195 cmd_retries=3 stop_opcode=0 stop_arg=0x0 stop_flags=0x0 stop_retries=0 sbc_opcode=0 sbc_arg=0x0 sbc_flags=0x0 sbc_retires=0 blocks=0 block_size=0 blk_addr=0 data_flags=0x0 tag=0 can_retune=0 doing_retune=0 retune_now=0 need_retune=0 hold_retune=1 retune_period=0
     kworker/0:1-3712  [000] d..1 259070.752876: bcm2835_sdhost_request: read:SDEDM:00010801
     kworker/0:1-3712  [000] d..1 259070.752881: bcm2835_sdhost_send_command: read:SDCMD:0000000d
     kworker/0:1-3712  [000] d..1 259070.752888: bcm2835_sdhost_send_command: read:SDHSTS:00000000
     kworker/0:1-3712  [000] d..1 259070.752890: bcm2835_sdhost_send_command: write:SDARG:59b40000
     kworker/0:1-3712  [000] d..1 259070.752891: bcm2835_sdhost_send_command: write:SDCMD:0000800d
     kworker/0:1-3712  [000] d..1 259070.752894: bcm2835_sdhost_finish_command: read:SDCMD:0000800d
     kworker/0:1-3712  [000] d..1 259070.752895: bcm2835_sdhost_finish_command: read:SDCMD:0000000d
     kworker/0:1-3712  [000] d..1 259070.752897: bcm2835_sdhost_finish_command: read:SDRSP0:00000900
     kworker/0:1-3712  [000] ..s2 259070.752924: mmc_request_done <-bcm2835_sdhost_tasklet_finish
     kworker/0:1-3712  [000] ..s1 259070.752929: mmc_request_done: mmc0: end struct mmc_request[ffffff8010763bc0]: cmd_opcode=13 cmd_err=0 cmd_resp=0x900 0x0 0x0 0x0 cmd_retries=3 stop_opcode=0 stop_err=0 stop_resp=0x0 0x0 0x0 0x0 stop_retries=0 sbc_opcode=0 sbc_err=0 sbc_resp=0x0 0x0 0x0 0x0 sbc_retries=0 bytes_xfered=0 data_err=0 tag=0 can_retune=0 doing_retune=0 retune_now=0 need_retune=0 hold_retune=1 retune_period=0
     kworker/0:1-3712  [000] ..s2 259070.752932: mmc_wait_done <-mmc_request_done
     kworker/0:1-3712  [000] ...1 259070.752936: mmc_wait_for_req_done <-mmc_wait_for_req
     kworker/0:1-3712  [000] ...1 259070.752938: mmc_retune_release <-mmc_wait_for_req_done
     kworker/0:1-3712  [000] ...1 259070.752940: mmc_put_card <-mmc_sd_detect
     kworker/0:1-3712  [000] ...1 259070.752942: mmc_release_host <-mmc_put_card
    kworker/u8:1-3771  [001] ...1 259070.787878: mmc_init_request <-alloc_request_size
    kworker/u8:1-3771  [001] ...1 259070.787909: mmc_init_request <-alloc_request_size
    kworker/u8:1-3771  [001] ...1 259070.788030: mmc_init_request <-alloc_request_size
    kworker/u8:1-3771  [001] d..2 259070.788068: mmc_request_fn <-__blk_run_queue
         mmcqd/0-339   [003] d..2 259070.788089: mmc_prep_request <-blk_peek_request
         mmcqd/0-339   [003] d..2 259070.788092: mmc_access_rpmb <-mmc_prep_request
         mmcqd/0-339   [003] ...1 259070.788096: mmc_blk_issue_rq <-mmc_queue_thread
         mmcqd/0-339   [003] ...1 259070.788098: mmc_get_card <-mmc_blk_issue_rq
         mmcqd/0-339   [003] ...1 259070.788104: mmc_blk_issue_rw_rq <-mmc_blk_issue_rq
         mmcqd/0-339   [003] ...1 259070.788107: mmc_blk_rw_rq_prep <-mmc_blk_issue_rw_rq
         mmcqd/0-339   [003] ...1 259070.788111: mmc_set_data_timeout <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [003] ...1 259070.788114: mmc_queue_map_sg <-mmc_blk_rw_rq_prep
         mmcqd/0-339   [003] ...1 259070.788121: mmc_start_areq <-mmc_blk_issue_rw_rq
         mmcqd/0-339   [003] ...1 259070.788126: mmc_start_request <-mmc_start_areq
         mmcqd/0-339   [003] ...1 259070.788127: mmc_retune_hold <-mmc_start_request
         mmcqd/0-339   [003] ...1 259070.788135: mmc_retune <-__mmc_start_request
